reg_address,reg_name,group,bit,point_name,alias_on,alias_off,parse,quantity
40,Alarms,Alarms,0,Suction PSI Hi,Alarm,Normal,,1
40,Alarms,Alarms,1,1st Int Stge PSI Hi,Alarm,Normal,,1
40,Alarms,Alarms,2,2nd Int Stge PSI Hi,Alarm,Normal,,1
40,Alarms,Alarms,3,Final Stge DP Hi,Alarm,Normal,,1
40,Alarms,Alarms,5,Suction Lvl Hi,Alarm,Normal,,1
40,Alarms,Alarms,6,1st Int Stge Lvl Hi,Alarm,Normal,,1
40,Alarms,Alarms,7,2nd Int Stge Lvl Hi,Alarm,Normal,,1
40,Alarms,Alarms,8,Oil Lo Level,Alarm,Normal,,1
40,Alarms,Alarms,9,No Flow,Alarm,Normal,,1
40,Alarms,Alarms,10,Suction PSI Lo,Alarm,Normal,,1
40,Alarms,Alarms,11,1st Int Stge PSI Lo,Alarm,Normal,,1
40,Alarms,Alarms,12,2nd Int Stge PSI Lo,Alarm,Normal,,1
40,Alarms,Alarms,13,Final Stge DP Lo,Alarm,Normal,,1
40,Alarms,Alarms,14,Oil PSI Lo,Alarm,Normal,,1
40,Alarms,Alarms,15,Eng Vib,Alarm,Normal,,1
41,Alarms,Alarms,0,Vib Comp HiHi,Alarm,Normal,,1
41,Alarms,Alarms,1,Fan Vib,Alarm,Normal,,1
41,Alarms,Alarms,5,Suction Temp,Alarm,Normal,,1
41,Alarms,Alarms,7,1st Int Stge Temp Hi,Alarm,Normal,,1
41,Alarms,Alarms,8,2nd Int Stge Temp Hil,Alarm,Normal,,1
41,Alarms,Alarms,9,Oil Temp Hil,Alarm,Normal,,1
41,Alarms,Alarms,10,Final Disch Temp Hi,Alarm,Normal,,1
41,Alarms,Alarms,11,Cooler Temp Hi,Alarm,Normal,,1
41,Alarms,Alarms,12,RPM Lo Kill,Alarm,Normal,,1
41,Alarms,Alarms,13,RPM Hi Kill,Alarm,Normal,,1





