reg_address,reg_name,group,bit,point_name,alias_on,alias_off,parse,quantity
4,Specific Gravity,Other,,,,,"[{""func"": ""float32ToNum""}]",2
8,Specific Gravity (Offset),Other,,,,,"[{""func"": ""float32ToNum""}]",2
20,PD Charge Pump 1 Start Setpoint,Setpoints,,,,,"[{""func"": ""float32ToNum""}]",2
22,PD Charge Pump 1 Stop Setpoint,Setpoints,,,,,"[{""func"": ""float32ToNum""}]",2
52,PD Charge Pump 2 Start Setpoint,Setpoints,,,,,"[{""func"": ""float32ToNum""}]",2
54,PD Charge Pump 2 Stop Setpoint,Setpoints,,,,,"[{""func"": ""float32ToNum""}]",2
24,Tank High Setpoint,Setpoints,,,,,"[{""func"": ""float32ToNum""}]",2
26,Tank Low Setpoint,Setpoints,,,,,"[{""func"": ""float32ToNum""}]",2
16,Tank Level (FT),Levels,,,,,"[{""func"": ""float32ToNum""}]",2
30,Status,Status,0,Head Switch Status,On,Off,,1
30,Status,Status,1,Tank High Level,Alarm,Normal,,1
30,Status,Status,3,Charge Pump 1 Status,Running,Stopped,,1
30,Status,Status,4,PD Pump 1 Status,Running,Stopped,,1
30,Status,Status,5,Chem Pump 1 Command,Running,Stopped,,1
30,Status,Status,6,Level Permissive 1,On,Off,,1
30,Status,Status,7,Level Permissive 2,On,Off,,1
30,Status,Status,9,Charge Pump 2 Status,Running,Stopped,,1
30,Status,Status,10,PD Pump 2 Status,Running,Stopped,,1
30,Status,Status,11,Chem Pump 2 Command,Running,Stopped,,1
30,Status,Status,13,Pump 1 Permissive,On,Off,,1
30,Status,Status,14,Pump 2 Permissive,On,Off,,1
40,Alarms,Alarms,0,Tank High-High Level,Alarm,Normal,,1
40,Alarms,Alarms,1,Charge 1 Fail to Start,Alarm,Normal,,1
40,Alarms,Alarms,2,PD 1 Fail to Start,Alarm,Normal,,1
40,Alarms,Alarms,5,Charge 2 Fail to Start,Alarm,Normal,,1
40,Alarms,Alarms,6,PD 2 Fail to Start,Alarm,Normal,,1
40,Alarms,Alarms,7,Tank Low-Low Level,Alarm,Normal,,1
120,Totalizer,Flow,,,,,"[{""func"": ""float32ToNum""}]",2
122,Flowrate,Flow,,,,,"[{""func"": ""float32ToNum""}]",2
124,Daily Total,Flow,,,,,"[{""func"": ""float32ToNum""}]",2
126,Yday Total,Flow,,,,,"[{""func"": ""float32ToNum""}]",2
130,Totalizer 2,Flow,,,,,"[{""func"": ""float32ToNum""}]",2
132,Flowrate 2,Flow,,,,,"[{""func"": ""float32ToNum""}]",2
134,Daily Total 2,Flow,,,,,"[{""func"": ""float32ToNum""}]",2
136,Yday Total 2,Flow,,,,,"[{""func"": ""float32ToNum""}]",2
90,VFD1 Alarms,Alarms,0,VFD1 High Discharge,Alarm,Normal,,1
90,VFD1 Alarms,Alarms,1,VFD1 Low Discharge,Alarm,Normal,,1
90,VFD1 Alarms,Alarms,2,VFD1 High Suction,Alarm,Normal,,1
90,VFD1 Alarms,Alarms,3,VFD1 Low Suction,Alarm,Normal,,1
90,VFD1 Alarms,Alarms,4,VFD1 Low Oil,Alarm,Normal,,1
90,VFD1 Alarms,Alarms,5,VFD1 Low Lube,Alarm,Normal,,1
90,VFD1 Alarms,Alarms,6,VFD1 Vibration,Alarm,Normal,,1
90,VFD1 Alarms,Alarms,7,VFD1 Low Crank Case,Alarm,Normal,,1
91,VFD2 Alarms,Alarms,0,VFD2 High Discharge,Alarm,Normal,,1
91,VFD2 Alarms,Alarms,1,VFD2 Low Discharge,Alarm,Normal,,1
91,VFD2 Alarms,Alarms,2,VFD2 High Suction,Alarm,Normal,,1
91,VFD2 Alarms,Alarms,3,VFD2 Low Suction,Alarm,Normal,,1
91,VFD2 Alarms,Alarms,4,VFD2 Low Oil,Alarm,Normal,,1
91,VFD2 Alarms,Alarms,5,VFD2 Low Lube,Alarm,Normal,,1
91,VFD2 Alarms,Alarms,6,VFD2 Vibration,Alarm,Normal,,1
91,VFD2 Alarms,Alarms,7,VFD2 Low Crank Case,Alarm,Normal,,1













40,Alarms,Alarms,1,suction_level_low,Alarm,Normal,,1
