reg_address,reg_name,group,bit,point_name,alias_on,alias_off,parse,quantity
41,Status,Status,0,N. Pump Auto,Auto,Not Auto,,1
41,Status,Status,1,N. Pump Hand,Hand,Not Hand,,1
41,Status,Status,2,N. Pump Run,Running,Stopped,,1
41,Status,Status,3,S. Pump Auto,Auto,Not Auto,,1
41,Status,Status,4,S. Pump Hand,Hand,Not Hand,,1
41,Status,Status,5,S. Pump Run,Running,Stopped,,1
41,Status,Status,6,Battery Low Status,Alarm,Normal,,1
40,Alarms,Alarms,0,N Pump Pressure,Alarm,Normal,,1
40,Alarms,Alarms,1,N Pump Oil,Alarm,Normal,,1
40,Alarms,Alarms,2,N Pump Vibration,Alarm,Normal,,1
40,Alarms,Alarms,3,N. Pump Kill,Alarm,Normal,,1
40,Alarms,Alarms,4,N. Pump Lube,Alarm,Normal,,1
40,Alarms,Alarms,5,S. Pump Pressure,Alarm,Normal,,1
40,Alarms,Alarms,6,S. Pump Oil,Alarm,Normal,,1
40,Alarms,Alarms,7,S. Pump Vibration,Alarm,Normal,,1
40,Alarms,Alarms,8,S. Pump Kill,Alarm,Normal,,1
40,Alarms,Alarms,9,S. Pump Lube,Alarm,Normal,,1
40,Alarms,Alarms,10,Power Phase Loss,Alarm,Normal,,1
40,Alarms,Alarms,11,Tank High Alarm,Alarm,Normal,,1
40,Alarms,Alarms,12,120VAC Power Loss,Alarm,Normal,,1
40,Alarms,Alarms,13,Air Compressor PSI low,Alarm,Normal,,1
